año,película,reparto,personaje
2009,La concejala antropófaga,Carmen Machi,Chon
2009,La concejala antropófaga,Penélope Cruz,Pina
2009,La concejala antropófaga,Marta Aledo,Maribel
2006,Volver,Penélope Cruz,Raimunda
2006,Volver,Carmen Maura,Irene
2006,Volver,Lola Dueñas,Sole
2006,Volver,Blanca Portillo,Agustina
2006,Volver,Yohana Cobo,Paula
2006,Volver,Chus Lampreave,Tía Paula
2006,Volver,Antonio de la Torre,Paco
2006,Volver,Carlos Blanco,Emilio
2006,Volver,María Isabel Díaz Lago,Regina (as Mª Isabel Díaz)
2006,Volver,Neus Sanz,Inés
2006,Volver,Leandro Rivera,Auxiliar Producción
2006,Volver,Pepa Aniorte,Vecina
2006,Volver,Yolanda Ramos,Presentadora TV
2006,Volver,Elvira Cuadrupani,Vecina
2006,Volver,María Alfonsa Rosso,Vecina (as Alfonsa Rosso)
2006,Volver,Fanny de Castro,Vecina
2006,Volver,Eli Iranzo,Vecina
2006,Volver,Carlos García Cambero,Carlos
2006,Volver,Magdalena Brotto,Vecina (as Magdalena Broto)
2006,Volver,Isabel Ayúcar,Vecina
2006,Volver,Concha Galán,Vecina
2006,Volver,Mari Franç Torres,Vecina
2006,Volver,Natalia Roig,Vecina
2006,Volver,Agustín Almodóvar,Empleado ferretería (uncredited)
2006,Volver,Mila Espiga,Vecina (uncredited)
2006,Volver,Luis Lattanzi,Hungry second camera assistant (uncredited)
2006,Volver,Valeria Vereau,Make-up Artist (uncredited)
2004,La mala educación,Gael García Bernal,Ángel / Juan / Zahara
2004,La mala educación,Fele Martínez,Enrique Goded
2004,La mala educación,Daniel Giménez Cacho,Padre Manolo
2004,La mala educación,Lluís Homar,Sr. Berenguer
2004,La mala educación,Francisco Maestre,Padre José
2004,La mala educación,Francisco Boira,Ignacio
2004,La mala educación,Juan Fernández,Martín
2004,La mala educación,Nacho Pérez,Ignacio (as Ignacio Pérez)
2004,La mala educación,Raúl García Forneiro,Enrique (as Raúl Gª Forneiro)
2004,La mala educación,Javier Cámara,Paquito
2004,La mala educación,Alberto Ferreiro,Enrique Serrano
2004,La mala educación,Petra Martínez,Madre
2004,La mala educación,Sandra,
2004,La mala educación,Roberto Hoyas,Camarero
2004,La mala educación,Agustín Almodóvar,Limpiador Piscina (uncredited)
2004,La mala educación,Pedro Almodóvar,Limpiador Piscina (uncredited)
2004,La mala educación,Robert Forcadell,Man in public (uncredited)
2004,La mala educación,Luis Lobos Negros,Motero ochentero (uncredited)
2004,La mala educación,Pol Monen,Niño (uncredited)
2004,La mala educación,Sara Montiel,Soledad (archive footage) (uncredited)
2004,La mala educación,Pau Poch,Niño (uncredited)
2004,La mala educación,Leonor Watling,Mónica (uncredited)
2004,La mala educación,José María Yazpik,Extra (uncredited)
2002,Hable con ella,Javier Cámara,Benigno Martín
2002,Hable con ella,Darío Grandinetti,Marco Zuluaga
2002,Hable con ella,Leonor Watling,Alicia
2002,Hable con ella,Rosario Flores,Lydia González
2002,Hable con ella,Mariola Fuentes,Rosa
2002,Hable con ella,Geraldine Chaplin,Katerina Bilova
2002,Hable con ella,Pina Bausch,Bailarina 'Café Müller'
2002,Hable con ella,Malou Airaudo,Bailarine 'Café Müller' (Dancer)
2002,Hable con ella,Caetano Veloso,"Singer at party - ""Cucurrucucú Paloma"""
2002,Hable con ella,Roberto Álvarez,Doctor Vega
2002,Hable con ella,Elena Anaya,Ángela
2002,Hable con ella,Lola Dueñas,Matilde
2002,Hable con ella,Adolfo Fernández,Niño de Valencia
2002,Hable con ella,Ana Fernández,Hermana de Lydia
2002,Hable con ella,Chus Lampreave,Portera
2002,Hable con ella,Loles León,Presentadora de TV
2002,Hable con ella,Fele Martínez,Alfredo
2002,Hable con ella,Helio Pedregal,Padre de Alicia
2002,Hable con ella,José Sancho,Agente Niño de Valencia
2002,Hable con ella,Paz Vega,Amparo
2002,Hable con ella,Beatriz Santiago,Enfermera A
2002,Hable con ella,Juan Fernández,Director Prisión
2002,Hable con ella,Carmen Machi,Enfermera Jefe
2002,Hable con ella,Ismael Martínez,Enfermero
2002,Hable con ella,Joserra Cadiñanos,Director Hospital
2002,Hable con ella,Ángel Infantes,Yiyo (as Angel Infantes 'Yiyo')
2002,Hable con ella,Agustín Almodóvar,Cura
2002,Hable con ella,Adela Donamaría,Recepcionista psiquiatra
2002,Hable con ella,Carlos García Cambero,Cuñado de Lydia
2002,Hable con ella,Esther García,Oficial
2002,Hable con ella,Lola García,Recepcionista Hospital
2002,Hable con ella,Sonia Grande,Madre de Alfredo
2002,Hable con ella,Ben Lindbergh,Ben
2002,Hable con ella,Carlos Miguel,Oficial (as Carlos Miguel Miguel)
2002,Hable con ella,Michel Ruben,Abogado
2002,Hable con ella,Ana Sanz,Empleada Academia de baile
2002,Hable con ella,Jean-Laurent Sasportes,Bailarín 'Café Müller'
2002,Hable con ella,Nazareth Panadero,Bailarín 'Café Müller'
2002,Hable con ella,Dominique Mercy,Bailarín 'Café Müller' / 'Masurca fogo'
2002,Hable con ella,Michael Strecker,Bailarín 'Café Müller' / 'Masurca fogo'
2002,Hable con ella,Ruth Amarante,Bailarina 'Masurca fogo'
2002,Hable con ella,Aida Vainieri,Bailarina 'Masurca fogo'
2002,Hable con ella,Rainer Behr,Bailarina 'Masurca fogo'
2002,Hable con ella,Stephen Brinkmann,Bailarina 'Masurca fogo'
